EIIN,INSTITUTE NAME
104738,MUZAFFARABAD GIRLS HIGH SCHOOL
104739,HAIDGAON HIGH SCHOOL
104740,DHAURDENGA SARADA CHARON HIGH SCHOOL
104741,RATANPUR HIGH SCHOOL
104742,JOARA KHANKHANABAD NUTAN CHANDRA HIGH SCHOOL
104743,BAROIKORA HIGH SCHOOL
104744,PINGALA BUDHPARA MOFIZUR RAHMAN GIRLS HIGH SCHOOL
104745,JIRI KHALIL MIR ADARSHA HIGH SCHOOL
104746,KUSUMPURA HIGH SCHOOL AND COLLEGE
104747,MALIARA MAHIRA MOHIRA HIKHAINE HIGH SCHOOL
104748,KAROL GIRLS HIGH SCHOOL
104749,CHITTAGONG IDEAL HIGH SCHOOL
104751,Pancharia Halima Rahman Jr. School
104752,AZIMPUR HIGH SCHOOL
104784,DHALGHAT HIGH SCHOOL & COLLEGE
104785,MONSA HIGH SCHOOL
104786,SHOVANDANDI SCHOOL AND COLLEGE
104787,EAST SHARAFBHATA IDEAL HIGH SCHOOL
104788,RANGUNIA ADARSHA PILOT HIGH SCHOOL
104789,RANGUNIA MAJUMDERKHIL HIGH SCHOOL
104790,POMRA HIGH SCHOOL
104791,NORTH RANGUNIA HIGH SCHOOL
104792,RANGUNIA KHIL MOGAL RASHIK HIGH SCHOOL
104793,SOUTH RANGUNIA SHILOK HIGH SCHOOL
104794,RAJA NAGAR R. A. B. M. HIGH SCHOOL
104795,BEGUM IQBAL JAKIR HOSSAIN GIRLS HIGH SCHOOL
104796,SARAF BHATA UNION HIGH SCHOOL
104797,MORIUM NAGAR HIGH SCHOOL
104798,RAJA BHUBAN HIGH SCHOOL
104799,KODALA HIGH SCHOOL
104800,NORTH PADUA HIGH SCHOOL
104801,CHANDRA GHONA ADARSHA HIGH SCHOOL
104802,SABEK RANGUNIA INDRA KUMERY GIRLS HIGH SCHOOL
104803,MORIOM NAGAR GIRLS HIGH SCHOOL
104804,SHILOK HAMID SHARIF GIRLS HIGH SCHOOL
104805,ROTARY BETAGI UNION HIGH SCHOOL
104806,SONARGAON HIGH SCHOOL
104807,SAHABDI NAGAR HIGH SCHOOL
104808,SUKH BILAS HIGH SCHOOL
104809,GHATCHEK HIGH SCHOOL
104810,POMRA SHAHID ZIANAGAR HIGH SCHOOL
104811,BOGABILY HIGH SCHOOL
104812,SOUTH SHILOK M. SHAH ALAM CHOWDHURY HIGH SCHOOL
104813,KHURUSHIA DWARIKOPE HIGH SCHOOL
104814,KAUKHALI ANOWARA BEGUM HIGH SCHOOL
104815,UTTAR PARUA HIGH SCHOOL
104816,RAFIQUABAD GIRLS HIGH SCHOOL
104817,ISLAMPUR HIGH SCHOOL
104818,HOSNABAD LALANAGAR HIGH SCHOOL
104819,HARIHAR HIGH SCHOOL
104820,NORTH POMRA HIGH SCHOOL
104821,PADUA SHAMILLANEY GIRLS HIGH SCHOOL
104822,WEST SARAFVATA MIRERKHIL HIGH SCHOOL
104823,POMRA BANGABANDU HIGH SCHOOL
104824,EAST KODALA M. A. TAHER HIGH SCHOOL
104825,WEST SHILOK BEDOWRA ALAM CHOWDHURY HIGH SCHOOL
104826,AL-HAJ ABUL BASHER CHOWDHURY HIGH SCHOOL
104853,RANGUNIA PUBLIC SCHOOL AND COLLEGE
104854,NOAPARA HIGH SCHOOL
104855,URKIRCHAR HIGH SCHOOL
104856,SULTANPUR HIGH SCHOOL
104857,MADYAM ADHAR MANIK HIGH SCHOOL
104858,ABURKHIL AMITABH HIGH SCHOOL
104859,MOHAMUNI ANGLOPALI HIGH SCHOOL
104860,GOHIRA ABDUL JABBAR YOUNGMEN SOCIETY BOHUMUKHI HIGH SCHOOL
104861,KOEPARA J. C. SEN HIGH SCHOOL
104862,NONDIPARA S. M. GIRLS HIGH SCHOOL
104863,RAOJAN ARJYA MOITRA HIGH SCHOOL
104864,GOSHCHI HIGH SCHOOL
104865,MOHAMMADPUR HIGH SCHOOL
104866,NOYAPARA M. B. MOLLICK HIGH SCHOOL
104867,BINA JURY NOBIN HIGH SCHOOL
104868,KADALPUR SCHOOL AND COLLEGE
104869,DABUYA TARA CHARAN SHYAMACHARAN HIGH SCHOOL
104870,KUNDESHWARY GIRLS BIDYA MONDIR
104871,KOEPARA GIRLS HIGH SCHOOL
104872,ADHAR MANIK HIGH SCHOOL
104873,NORTH SORTA DARGA HIGH SCHOOL
104874,HARPARA HIGH SCHOOL
104875,NOYA PARA MUSLIM HIGH SCHOOL
104876,WEST GUZRA HIGH SCHOOL
104877,WEST GOHIRA YOUNUS SUFIA CHOWDHURY PUBLIC HIGH SCHOOL
104878,FATEHNAGAR NOAJISHPUR WADUDIA HIGH SCHOOL
104879,SALAMOT ULLAH HIGH SCHOOL
104880,UNASATTOR PARA HIGH SCHOOL
104881,AGRASAR BOUDDYA ANATHALAY HIGH SCHOOL
104882,NORTH GUZRA HIGH SCHOOL
104883,WEST ADHAR MANIK GUZRA RAM MOHON HIGH SCHOOL
104884,HOZRAT YASIN SHAH PUBLIC HIGH SCHOOL
104885,DABUA HIGH SCHOOL
104886,RAOJAN SURESH BIDYAYTAN
104887,GUZRA SHYAMACHARAN HIGH SCHOOL
104888,HOLDIA HIGH SCHOOL
104889,EAST GUZRA HIGH SCHOOL
104890,KHOIYAKHALI HIGH SCHOOL
104891,CHIKDAIR HIGH SCHOOL
104892,KOTWALI GHONA ADARSHA HIGH SCHOOL
104893,KACHU KHAIN MIA ALI HIGH SCHOOL
104894,CHIKDAIR SHAHADAT FAZAL HIGH SCHOOL
104895,DALAI NAGAR HIGH SCHOOL
104896,PANCHKHAIN BAGUAN SAMMILANI HIGH SCHOOL
104897,YASIN NAGAR MODEL HIGH SCHOOL
104898,ABDUS SALAM ADARSHA HIGH SCHOOL
104899,GAURA CHANDRA JATINDRA HIGH SCHOOL
104900,WEST BINAJURI HIGH SCHOOL
104901,SOUTH NOAPARA HIGH SCHOOL
104902,SOUTH KADALPUR JUNIOR HIGH SCHOOL
104905,C P S JUNIOR HIGH SCHOOL
104937,DEWANPUR S. K. SEN HIGH SCHOOL
104938,CHITTAGONG ENGINEERING UNIVERSITY SCHOOL & COLLEGE
104940,AYEASHA OBAYEAD GIRLS HIGH SCHOOL
104941,SANDWIP MODEL SCHOOL & COLLEGE
104942,KATGHAR GOLAM NABI HIGH SCHOOL
104943,RAHMATPUR HIGH SCHOOL
104944,EAST SWANDIP HIGH SCHOOL
104945,KARGIL GOVT. BOYS HIGH SCHOOL
104946,MAIT BHANGA HIGH SCHOOL
104947,MODDHYA SANTOSHPUR HIGH SCHOOL
104948,MOGDHARA HIGH SCHOOL
104949,MUCHHAPUR HAZI ABDUL BATEN HIGH SCHOOL
104950,JABEN NOOR SULTAN HIGH SCHOOL
104951,EAST SWANDIP ENAM NAHAR GIRLS HIGH SCHOOL
104952,AZIMPUR HIGH SCHOOL
104953,GACHUA ADARSHA HIGH SCHOOL
104954,A. K. ACADEMY HIGH SCHOOL
104955,SOUTH SWANDIP HIGH SCHOOL
104956,MOMENA SEKANDAR GOVT. GIRLS HIGH SCHOOL
104957,SWANDIP PUBLIC HIGH SCHOOL
104958,DIPBANDHU MUSTAFIZUR RAHMAN HIGH SCHOOL
104959,KALAPANIA HIGH SCHOOL
104960,SANTOSHPUR HIGH SCHOOL
104961,BAURIA G. K. ACADEMY
104962,MUCHHAPUR BODIUZZAMAN HIGH SCHOOL
104963,SOUTH SWANDIP ABEDA FOYEZ GIRLS HIGH SCHOOL
104964,SWANDIP IDEAL HIGH SCHOOL
104965,SOUTH-EAST SWANDIP HIGH SCHOOL
104966,KAZI AFAZ UDDIN HIGH SCHOOL
104967,KALAPANIA CHOWDHURY BIDYA NIKETON
104983,GATIADENGA ALHAJ SHAFIA MAMTAJUL HOQUE HIGH SCHOOL
104984,MIRZAKHIL MODEL GIRLS HIGH SCHOOL
104985,DEUDIGHI K. M. HIGH SCHOOL
104986,NOLUA D. L. KARAN SECONDARY SCHOOL
104987,SHERE-BANGLA HIGH SCHOOL
104988,GARANGIA HIGH SCHOOL
104989,MORFOLA R. M. N. HIGH SCHOOL
104990,ICHAMATI YAKUB MARIUM HIGH SCHOOL
104992,MIRZAKHIL HIGH SCHOOL
104993,JANAKALYAN MODEL HIGH SCHOOL
104994,SATKANIA GIRLS HIGH SCHOOL
104995,SATKANIA MODEL HIGH SCHOOL
104996,AMILAISH KANCHONA BANGACHANDRA GHOSH INSTITUTE
104997,BAZALIA HIGH SCHOOL
104998,KANCHONA GIRLS HIGH SCHOOL
104999,DHEMSHA HIGH SCHOOL
105000,PURANGAR SHAH SHARFUDDIN HIGH SCHOOL
105001,KARAIYA NOGAR HIGH SCHOOL
105002,UNITED IDEAL HIGH SCHOOL
105003,CHIBBARI ADARSHA HIGH SCHOOL
105004,BARODONA HOQUE MEMORIAL HIGH SCHOOL
105005,CHAR KHAGRIA KHADIM ALI CHOWDHURY HIGH SCHOOL
105006,CHARTI DURDURI HIGH SCHOOL
105007,SAMADAR PARA MULTILATERAL HIGH SCHOOL
105008,NORTH SATKANIA ALI AHMOD PRANHORI HIGH SCHOOL
105010,KHAGRIA BOHUMUKHI HIGH SCHOOL
105011,SOUTH KANCHONA N. A. CHOWDHURY HIGH SCHOOL
105012,AMILAISH ADARSHA HIGH SCHOOL
105013,KEUCHIYA HIGH SCHOOL
105014,WEST DHEMSHA HIGH SCHOOL
105015,CHADAHA KEFAYET ULLAH KABIR AHMAD HIGH SCHOOL
105017,BAITUL IZZAT RIFLES PUBLIC SCHOOL
105018,EAST GHATIA DHANGA HIGH SCHOOL
105019,WEST GATIADENGA HIGH SCHOOL
105020,BARODONA S. M. M. ABDUL BARI GIRLS HIGH SCHOOL
105021,AUCHIA GIRLS HIGH SCHOOL
105022,LAYLA MOSUD HIGH SCHOOL
105024,ZONAR KEUCHIA ADARSHA HIGH SCHOOL
105025,SOUTH DHEMSHA CHOWMOHONY MODEL JUNIOR SCHOOL
105062,KUMIRA RESIDENTIAL HIGH SCHOOL
105063,BHATER KHIL HIGH SCHOOL
105064,BHATIYARI HAZI TOBARAK ALI CHOWDHURY HIGH SCHOOL
105065,SONAICHHARY HIGH SCHOOL
105066,BARA DAROGAR HAT A. R. MEMORIAL HIGH SCHOOL
105067,BARABKUND HIGH SCHOOL
105068,SITAKUNDA GOVT. HIGH SCHOOL
105069,LATIFA SIDDIKA GIRLS HIGH SCHOOL
105070,SABUJ SHIKSHAYATAN
105071,C. C. C. HIGH SCHOOL
105072,MASAJIDDA HIGH SCHOOL
105074,FAUZDARHAT COLLEGIATE SCHOOL
105075,BANGLADESH MILITARY ACADEMY HIGH SCHOOL
105076,LATIFPUR AL-HAZ ABDUL JALIL HIGH SCHOOL
105077,HAZRAT KHAWJA KALU SHAH (R.) GIRLS HIGH SCHOOL
105078,FAUZDERHAT K. M. HIGH SCHOOL
105079,MADAM BIBIRHAT SHAHJAHAN HIGH SCHOOL
105080,ZAFARNOGAR APARNACHARAN HIGH SCHOOL
105081,SHITALPUR HIGH SCHOOL
105082,TERIYAIL HIGH SCHOOL
105083,CAPTAIN SHAMSUL HUDA HIGH SCHOOL
105084,SHEKHERHAT HIGH SCHOOL
105085,HAMID ULLAHAT HIGH SCHOOL
105086,BANSH BARIA HIGH SCHOOL
105087,KUMIRA GIRLS HIGH SCHOOL
105088,MOHANOGAR MIR SIRAZUL ISLAM HIGH SCHOOL
105089,PANTHICHILA HIGH SCHOOL
105091,R. R. TEXTILE MILLS HIGH SCHOOL
105092,MAHAMUDABAD HIGH SCHOOL
105093,SADEK MOSTAN(R.) HIGH SCHOOL
105094,M.A. KASHEM RAZA JUNIOR HIGH SCHOOL
105115,SITAKUNDA GIRLS HIGH SCHOOL AND COLLEGE
105116,FAUZDARHAT CADET COLLEGE
106168,KISHALAY MODEL SHIKSHA NIKETAN
106169,CHAKORIA GOVT. HIGH SCHOOL
106170,CHAKORIA GOVT. GIRLS HIGH SCHOOL
106171,DHEMUSHIA JINNAT ALI CHOWDHURY HIGH SCHOOL
106172,BADAR KHALI COLONIZATION HIGH SCHOOL
106173,HARBANG UNION HIGH SCHOOL
106174,DULA HAZARA HIGH SCHOOL
106175,ILISHIYA JAMILA BEGUM HIGH SCHOOL
106176,KOIAR BIL HIGH SCHOOL
106177,SHAH-UMRA BAAD HIGH SCHOOL
106178,MANIKPUR HIGH SCHOOL
106179,POHOR CHANDA HIGH SCHOOL
106180,KHUTAKHALI HIGH SCHOOL
106181,KAKARA SECONDARY SCHOOL
106182,BHAOLA MANIKCHAR HIGH SCHOOL
106183,DARBESH KATA HIGH SCHOOL
106184,BORAITOLI HIGH SCHOOL
106185,PALAKATA HIGH SCHOOL
106186,CHAKORIA CENTRAL HIGH SCHOOL
106187,MEMORIAL CHRISTIAN HIGH SCHOOL
106188,KONAKALI KARIMEAH HIGH SCHOOL
106189,DIGOR PANKHALI HIGH SCHOOL
106190,B. M. S. HIGH SCHOOL
106191,PURBA BARO BHAOLA G. N. A. MISSIONARY HIGH SCHOOL
106192,BOHODDAR KATA HIGH SCHOOL
106193,AL-AZHAR HIGH SCHOOL
106194,SHAKYAW MUNI HIGH SCHOOL
106195,CHAKORIA KORAK BIDDYAPIT
106196,RASHID AHMED CHOWDHURY HIGH SCHOOL
106198,DULAHAZARA JUNIOR GIRLS SCHOOL
106199,KISHALOY ADARSHA GIRLS HIGH SCHOOL
106200,MALUMGHAT IDEAL SCHOOL
106201,R. K. NURUL AMIN CHOWDHURY HIGH SCHOOL
106202,UTTAR BARAITALI HIGH SCHOOL
106205,CHAKARIA GRAMMAR SCHOOL
106234,MEHER NAMA HIGH SCHOOL
106235,PEKUA G. M. C. INSTITUTION
106236,MOGNAMA HIGH SCHOOL
106237,RAJAKHALI FOIJUNNESA HIGH SCHOOL
106238,SHILKHALI HIGH SCHOOL
106239,RAJAKHALI AYAR ALI KHAN HIGH SCHOOL
106240,TOITONG HIGH SCHOOL
106241,HOSNE ARA GIRLS HIGH SCHOOL
106242,PEKUA GIRLS HIGH SCHOOL
106243,BARBAKIA ADARSHA HIGH SCHOOL
106257,GOMATALI HIGH SCHOOL
106258,KHURULIYA HIGH SCHOOL
106259,BHARUYAKHALI HIGH SCHOOL
106260,EIDGAH MODEL HIGH SCHOOL
106261,EIDGAH JAHANARA GIRLS HIGH SCHOOL
106263,COXS BAZAR GOVT. BOYS HIGH SCHOOL
106264,SAHITYIKA HIGH SCHOOL
106265,KALATALI ADARSHA HIGH SCHOOL
106266,BAITUSH SHARAF ZABBARIA ACADEMY
106268,COXS BAZAR MODEL HIGH SCHOOL
106269,SOIKAT GIRLS HIGH SCHOOL
106270,KHURUSHKUL HIGH SCHOOL
106271,AL BAIYAN HIGH SCHOOL
106272,COXS BAZAR PREPARETORY HIGH SCHOOL
106273,AMENA KHATUN GIRLS HIGH SCHOOL
106274,CHOWFAL DANDI MODEL HIGH SCHOOL
106275,MOHAMMAD ILIAS MIAH CHOWDHURY HIGH SCHOOL
106276,POKEKHALI HIGH SCHOOL
106277,EIDGHAH ADARSHA SHISKHA NIKETON
106278,NAPIT KHALI SECONDARY SCHOOL
106279,P. M. KHALI HIGH SCHOOL
106281,SHAGAR MONI HIGH SCHOOL
106282,T. M. C. GIRLS HIGH SCHOOL
106285,DIPSHIKHA GIRLS ACADEMY
106286,BAHAR CHARA JUNIOR HIGH SCHOOL
106287,SOUTH KHURUSHKUL MODEL HIGH SCHOOL
106288,AIR PORT PUBLIC HIGH SCHOOL
106318,KUTUBDIA MODEL HIGH SCHOOL AND COLLEGE
106319,DHURANG ADARSHA HIGH SCHOOL
106320,KUTUBDIA GOVT. GIRLS HIGH SCHOOL
106321,KABI JASIM UDDIN HIGH SCHOOL
106322,ALI AKBAR DAIL HIGH SCHOOL
106323,SATAR UDDIN HIGH SCHOOL
106324,UTTARAN BIDDANIKETON
106325,LEMSHIKHALI HIGH SCHOOL
106335,MAHESHKHALI ISLAND HIGH SCHOOL
106336,HOANAK GIRLS HIGH SCHOOL
106337,YOUNUS KHALI NASIR UDDIN HIGH SCHOOL
106338,KUTUBZUM IDEAL HIGH SCHOOL
106339,BARA MAHESHKHALI GIRLS HIGH SCHOOL
106340,MAHESHKHALI MODEL HIGH SCHOOL
106341,MATAR BARI HIGH SCHOOL
106342,HOYANAK BOHU MUKHI HIGH SCHOOL
106343,KALAR MAR CHHARA HIGH SCHOOL
106344,MAHESHKHALI GOVT. GIRLS HIGH SCHOOL
106345,SHAPLAPUR HIGH SCHOOL
106346,DHALGHATA ADARSHA HIGH SCHOOL
106347,PANIRCHHARA ADARSHA HIGH SCHOOL
106348,KUTUB JUME OFF-SHORE HIGH SCHOOL
106349,CHOTTA MOHESH KHALI MODEL HIGH SCHOOL
106351,NORTH NOLBILA HIGH SCHOOL
106352,ABDUL MABUD CHOWDUARY HIGH SCHOOL
106354,MATARA BARI ADARSHA PUBILIC HIGH SCHOOL
106375,RAMU KHIJARY MODEL HIGH SCHOOL
106376,SOUTH MITHACHHARI HIGH SCHOOL
106377,GARJANIA HIGH SCHOOL
106378,JOARIA NALA H. M. SACHI HIGH SCHOOL
106379,EIDGAR AMIR MUHAMMAD BODI UDDIN HIGH SCHOOL
106380,RAMU GIRLS HIGH SCHOOL
106381,AL-FUAD ACADEMY
106382,ZARAIL TOLI HIGH SCHOOL
106383,AL-HAZ FAZAL AMBIA HIGH SCHOOL
106384,NADER-UZ-ZAMAN HIGH SCHOOL
106385,KAHCHPIA HIGH SCHOOL
106386,KAWERKHOP HAKIM-RAKIMA HIGH SCHOOL
106387,SHEIKH HASINA JOARIANALA GIRLS SCHOOL
106388,DECHUA PALONG JUNIOR HIGH SCHOOL
106398,TEKNAF PILOT HIGH SCHOOL
106399,NHEELA HIGH SCHOOL
106400,NAYA BAZAR HIGH SCHOOL
106401,TEKNAF EZAHAR GOVT. GIRLS HIGH SCHOOL
106402,NOYAPARA AL-HAZ NABI HOSSAIN HIGH SCHOOL
106403,SUBRANG HIGH SCHOOL
106404,SHAMLAPUR HIGH SCHOOL
106405,HAZI BASHIR AHMAD HIGH SCHOOL
106406,SENT MARTIN B. N. ISLAMIC HIGH SCHOOL
106407,NHEELA GIRLS HIGH SCHOOL
106408,LAMBARY MALKABANU HIGH SCHOOL
106409,KANJAR PARA HIGH SCHOOL
106425,PALONG ADARSHA HIGH SCHOOL
106426,UKHIA HIGH SCHOOL
106427,BALUKHALI KASHEMIA HIGH SCHOOL
106428,MORICHYA PALONG HIGH SCHOOL
106429,BHALUKIA PALONG HIGH SCHOOL
106430,SONAR PARA HIGH SCHOOL
106431,PALONG KHALI HIGH SCHOOL
106432,KUTUPALONG HIGH SCHOOL
106433,ZALIA PALONG HIGH SCHOOL
106434,RUMKHA PALONG HIGH SCHOOL
106435,ABUL KASHEM NOOR JAHAN CHOWDHURY HIGH SCHOOL
106436,THAINGKHALI HIGH SCHOOL
106437,MUKTIJODDHA SMRITI GIRLS SCHOOL
106438,HILTOP JUNIOR GIRLS SCHOOL
106448,UKHIA GIRLS HIGH SCHOOL
106749,BABU CHHARA HIGH SCHOOL
106750,DIGHINALA GOVT. HIGH SCHOOL
106751,DIGHINALA BORADOM HIGH SCHOOL
106752,CHOTO MARUNG HIGH SCHOOL
106753,RENGKERJYA HIGH SCHOOL
106754,ANATH ASHRAM RESIDENTIAL HIGH SCHOOL
106755,HUTCHINSONPUR HIGH SCHOOL
106756,PABLAKHALI SHANTIPUR HIGH SCHOOL
106757,UTTAR RENGKARJYA HIGH SCHOOL
106758,UDAL BAGAN HIGH SCHOOL
106759,BANCHARA JUNIOR HIGH SCHOOL
106760,KAMAKU CHARA JUNIOR HIGH SCHOOL
106761,DIGHINALA MODEL GIRLS HIGH SCHOOL
106762,BABUCHARA MUKH JUNIOR SCHOOL
106763,CHANGRA CHARI HIGH SCHOOL
106768,KHAGRACHHARI ADARSHA HIGH SCHOOL
106769,NATUN KURI CANTONMENT HIGH SCHOOL
106770,KHAGRACHHARI GOVT. GIRLS HIGH SCHOOL
106771,A. P. BATALIAN HIGH SCHOOL
106772,KHAGRACHHARI GOVT. HIGH SCHOOL
106773,MUNIGRAM HIGH SCHOOL
106774,KAMOL CHHARI HIGH SCHOOL
106775,PERACHHARA HIGH SCHOOL
106776,PANKHAIYA PARA HIGH SCHOOL
106777,THAKUR CHARA HIGH SCHOOL
106778,KHAGRACHHARI COLLEGIATE SCHOOL
106779,KHAGRACHHARI MUNICIPAL MODEL HIGH SCHOOL
106780,IT CHARI HIGH SCHOOL
106781,MILLENIUM BHAIBONCHARA JUNIOR SCHOOL
106782,NUNCHARI HIGH SCHOOL
106783,P. B. M. RESIDENTIAL SCHOOL
106784,SHISHU KALYAN SHANGHA RESIDENTIAL JUNIOR HIGH SCHOOL
106785,GACHBAN JUNIOR HIGH SCHOOL
106786,BHUACHARI JUNIOR HIGH SCHOOL
106790,LAXMI CHHARI HIGH SCHOOL
106791,BARMA CHARI JUNIOR HIGH SCHOOL
106793,DULYATALI HIGH SCHOOL
106796,MAHALCHHARI HIGH SCHOOL
106797,MAIS CHHARI HIGH SCHOOL
106798,ULTACHARI HIGH SCHOOL
106799,SINGI NALA HIGH SCHOOL
106800,LEMU CHHARI HIGH SCHOOL
106801,SINDUK CHHARI HIGH SCHOOL
106802,BOUDDHA SHISHUGHAR HIGH SCHOOL
106803,KHULARAM PARA HIGH SCHOOL
106804,MAHALCHARI ADARSHA GIRLS HIGH SCHOOL
106808,JUGGACHOLA JUNIOR HIGH SCHOOL
106809,MANIK CHARI JUNIOR GIRLS SCHOOL
106810,RANI NIHAR DEBI GOVT. HIGH SCHOOL
106811,BATNATALI HIGH SCHOOL
106812,TINTAHARI HIGH SCHOOL
106813,DAIN CHARY JUNIOR HIGH SCHOOL
106814,COLLEGIATE JUNIOR HIGH SCHOOL
106818,TABAL CHHARI KADAM TOLI HIGH SCHOOL
106819,GUIMARA GOVT. MODEL HIGH SCHOOL
106820,AMTALI JUNIOR HIGH SCHOOL
106821,SANTIPUR HIGH SCHOOL
106822,TAINDANG HIGH SCHOOL
106823,MATIRANGA GOVT. MODEL HIGH SCHOOL
106824,GOMOTI B. K. HIGH SCHOOL
106825,ALUTILA BATTALI HIGH SCHOOL
106826,KHEDA CHARA HIGH SCHOOL
106827,MATIRANGA GIRLS HIGH SCHOOL
106828,BORNAL MUKTIJODDHA HIGH SCHOOL
106838,PUZGANGMUKH HIGH SCHOOL
106839,PANCHHARI HIGH SCHOOL
106840,LOGANG HIGH SCHOOL
106841,LOGANG BAZAR ADARSHA HIGH SCHOOL
106842,PAN CHARI JR GIRLS HIGH SCHOOL
106843,NALKATA JUNIOR HIGH SCHOOL
106844,ULTACHARI JUNIOR HIGH SCHOOL
106847,PANCHHARI BAZAR HIGH SCHOOL
106848,RAMGARH GIRLS HIGH SCHOOL
106849,RAMGARH GOVT. HIGH SCHOOL
106850,BOLI PARA ADARSHA HIGH SCHOOL
106851,NAKAPA JUNIOR HIGH SCHOOL
106852,CHOWDHURY PARA JUNIOR HIGH SCHOOL
106854,HAPHCHARI JUNIOR HIGH SCHOOL
107667,KACHALONG GOVT. MODEL HIGH SCHOOL
107668,SHIJAKMUKH HIGH SCHOOL
107669,RUPALI HIGH SCHOOL
107670,BAGHAICHHARI HIGH SCHOOL
107671,KHEDAR MARA HIGH SCHOOL
107672,ULUCHHARI MOUZA HIGH SCHOOL
107673,B. T. HIGH SCHOOL
107674,SAROYATOLI HIGH SCHOOL
107675,AMTALI ISLAMIC CENTRE HIGH SCHOOL
107676,TULABAN HIGH SCHOOL
107677,BAGHAIHAT HIGH SCHOOL
107678,KACHALONG GIRLS HIGH SCHOOL
107679,DAKSHIN RUPAKARI HIGH SCHOOL
107680,UGAL CHHARI HIGH SCHOOL
107682,MEDINIPUR JUNIOR HIGH SCHOOL
107683,BATTALI JUNIOR HIGH SCOOL
107687,BARKAL HIGH SCHOOL
107688,BILCHHARA HIGH SCHOOL
107689,SUBHALONG HIGH SCHOOL
107690,BARUNA CHHARI HIGH SCHOOL
107691,HAZACHARI HIGH SCHOOL
107693,BARA HARINA HIGH SCHOOL
107694,BORUNACHARI ZONE HIGH SCHOOL
107695,THEGA KHUBBANG HIGH SCHOOL
107697,JUNO PAHAR JUNIOR HIGH SCHOOL
107699,ANDAR MANIK (MAICHCHARI) JUNIOR HIGH SCHOOL
107700,DABUYA BRIKSHA BHANUPUR HIGH SCHOOL
107701,POYAPARA PILOT HIGH SCHOOL
107702,GHAGRA HIGH SCHOOL
107703,BETBUNIA HIGH SCHOOL
107704,UTTAR MUBACHARI JUNIOR HIGH SCHOOL
107705,HARANGIPARA HIGH SCHOOL
107706,PANCHARI HIGH SCHOOL
107707,KAWKHALI GIRLS HIGH SCHOOL
107708,NAILLACHORI JU HIGH SCHOOL
107709,KASHKHALI JUNIOR HIGH SCHOOL
107710,TALUKDER PARA JUNIOR HIGH SCHOOL
107711,GHAGRA GIRLS HIGH SCHOOL
107712,Tarabonia Junior High School
107718,BILAICHHARI GOVT. HIGH SCHOOL
107719,KANGRACHARI JUNIOR HIGH SCHOOL
107720,FARUA JUNIOR HIGH SCHOOL
107722,K. R. C. HIGH SCHOOL
107723,KAPTAI BIDYUT UNNYAN BOARD HIGH SCHOOL
107724,NARANGIRI GOVT. HIGH SCHOOL
107725,PAHARIKA HIGH SCHOOL
107726,CHITMARAM HIGH SCHOOL
107727,SHAHID SAMSHUDDIN GIRLS HIGH SCHOOL
107728,DONGNALA HIGH SCHOOL
107729,KAPTAI HIGH SCHOOL
107730,WAGGA HIGH SCHOOL
107731,BARAI CARI KARNAFULY NURUL HUDA KADERI HIGH SCHOOL
107732,BHALUKIYA JR. HIGH SCHOOL
107734,SAKRACHARI JR. HIGH SCHOOL
107735,BANGLADESH NAVY HIGH SCHOOL
107739,KARNAPHULI PAPER MILLS HIGH SCHOOL AND COLLEGE
107740,BONJOGI CHHARA HIGH SCHOOL
107741,BHUBAN JOY GOVT. HIGH SCHOOL
107742,GHILATALI JUNIOR HIGH SCHOOL
107743,SUBALONG KHAGRACHARI JUNIOR HIGH SCHOOL
107744,VASHANNYA ADAM ISLAMI HIGH SCHOOL
107745,U. C. M. P. HIGH SCHOOL
107746,LANGODU GOVT. HIGH SCHOOL
107747,KATTALI HIGH SCHOOL
107748,KARALYA CHHARI HIGH SCHOOL
107749,GULSHAKHALI ADARSHA HIGH SCHOOL
107750,MAINIMUKH MODEL HIGH SCHOOL
107751,RABETA MODEL HIGH SCHOOL
107752,LONGUDU GIRLS HIGH SCHOOL
107754,MOHAL CHARI HIGH SCHOOL
107755,KALAPAKUJJA SENA MOITRY ADARSHA JUNIOR SCHOOL
107757,GHANNAMORE SENA MOITREE JUNIOR HIGH SCHOOL
107758,UTTER YEARING CHARI SENA MOITRI JUNIOR HIGH SCHOOL
107765,NANIARCHAR HIGH SCHOOL
107766,MOHAPURAM HIGH SCHOOL
107767,BETCHARI GENERAL OSMANI HIGH SCHOOL
107768,JAHANATALI HIGH SCHOOL
107769,KATALTALI JUNIOR HIGH SCHOOL
107770,MORA CHANGEE JUNIOR HIGH SCHOOL
107772,BOGACHARI AL-AMIN HIGH SCHOOL
107773,GHILA CHARI JR. SCHOOL
107774,BURIGHAT JR. SCHOOL
107775,GAINDIA CHHARI HIGH SCHOOL
107777,SAPMARA JUNIOR HIGH SCHOOL
107783,RAJASTHALI TAITONG PARA GOVT. HIGH SCHOOL
107784,BANGAL HALIA HIGH SCHOOL
107785,RAJASTHALI UPAJATIO ABASHIK BIDDALOY
107786,GAINDYA HIGH SCHOOL
107787,GHELA CHHRI JUNIOR SCHOOL
107790,OMDAMIA HILL POURA JUNIOR HIGH SCHOOL
107791,SHAPCHARI HIGH SCHOOL
107792,MOANOGHAR RESIDENTIAL SCHOOL AND COLLEGE
