EIIN,INSTITUTE NAME
104126,NORTH BHUSHI ANNADA JIBON HIGH SCHOOL
104127,WEST KADHUR KHIL HIGH SCHOOL
104128,KHARAN DWIP MULTILATERAL HIGH SCHOOL
104129,SYEDPUR BOHUMUKHI HIGH SCHOOL
104130,CHARANDWIP U/C HIGH SCHOOL
104131,SAROWATOLI IBRAHIM NUR MOHAMMAD HIGH SCHOOL
104132,JAISTAPURA RAMANI MOHAN HIGH SCHOOL
104133,SHREEPUR KHARANDWIP GIRLS HIGH SCHOOL
104134,AKUBDANDI WARES MOHSENA HIGH SCHOOL
104135,UTTAR GOMDANDI HIGH SCHOOL
104136,PURBA GOMDANDI ALHAJ BUDRUCH MEHER HIGH SCHOOL
104156,KESHUYA HIGH SCHOOL
104157,DOHAZARI JAMIJURI GIRLS HIGH SCHOOL
104158,EAST SAT BARIA HIGH SCHOOL
104159,JAFARABAD HIGH SCHOOL
104160,DIAKUL SANOWARA MODEL HIGH SCHOOL
104161,KHAN DIGHI HIGH SCHOOL
104162,HASONDONDI HIGH SCHOOL
104163,BOILTOLI HIGH SCHOOL
104164,JOARA B. CHOWDHURY HIGH SCHOOL
104165,KANAIMADARI DR. OLI AHMAD BIR BIKRAM HIGH SCHOOL
104166,FATE NAGAR S. N. GIRLS HIGH SCHOOL
104167,GACH BARIA N. G. HIGH SCHOOL
104168,DOHAJARI JAMIJURY ABDUR RAHMAN HIGH SCHOOL
104169,FATEMA JINNAH GIRLS HIGH SCHOOL
104170,KANCHANABAD HIGH SCHOOL
104171,BORMA TRAHI MENKA HIGH SCHOOL
104172,SUCHIYA RAMKRISHNA HIGH SCHOOL
104173,SAT BARIA HIGH SCHOOL
104174,BARKAL S. Z. HIGH SCHOOL
104175,CHAMU DARIA UNITED INSTITUTE
104176,HASHIMPUR M. A. K. U. HIGH SCHOOL
104178,KASEM MAHBUB HIGH SCHOOL
104179,GASBARIA MAMTAJ BEGUM SECONDARY GIRLS SCHOOL
104180,BORKAL ABDUL HAI ANOWARA BEGUM GIRLS HIGH SCHOOL
104204,BEGUM GUL-CHAMAN ARA ACADEMY
104206,BAKOLIA HIGH SCHOOL
104207,Abdul Latif Khan High School
104209,BAKOLIA GOVT. HIGH SCHOOL
